,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu,Model,Trọng lượng,Size người mẫu mặc
0,,,,,,,,,,,,,,,,,,,,,,
1,Buổi Đầu Nhiếp Ảnh Việt Nam (Sách Ảnh - Màu)(Bìa Cứng),https://salt.tikicdn.com/cache/280x280/ts/product/fa/30/67/c90ab9a179200829d0abffa69413a7b5.jpg,Sách tranh - artbook,Terry Bennett,"“VÌ CHỦ ĐỀ NÀY CHƯA TỪNG ĐƯỢC NGHIÊN CỨU Ở BẤT CỨ TẦM MỨC NÀO TỪ TRƯỚC ĐẾN NAY, TÔI CẢM THẤY ĐÓNG GÓP CỦA MÌNH SẼ CÓ ĐÔI CHÚT GIÁ TRỊ. CÁC NGUỒN TÀI LIỆU TÔI THAM KHẢO CHỦ YẾU LÀ CỦA PHƯƠNG TÂY, ĐẶC B...",503100,Phương Nam Book,2021-06-01 00:00:00,17 x 24 cm,Bìa cứng,504,Nhà Xuất Bản Thế Giới,Dương Mạnh Hùng,,,,,,,,,
2,Buổi Đầu Nhiếp Ảnh Việt Nam (Sách Ảnh - Màu)(Bìa Mềm),https://salt.tikicdn.com/cache/280x280/ts/product/31/57/6c/a9a11014beba81e330e381f270f4f4b4.jpg,Sách tranh - artbook,Terry Bennett,"“VÌ CHỦ ĐỀ NÀY CHƯA TỪNG ĐƯỢC NGHIÊN CỨU Ở BẤT CỨ TẦM MỨC NÀO TỪ TRƯỚC ĐẾN NAY, TÔI CẢM THẤY ĐÓNG GÓP CỦA MÌNH SẼ CÓ ĐÔI CHÚT GIÁ TRỊ. CÁC NGUỒN TÀI LIỆU TÔI THAM KHẢO CHỦ YẾU LÀ CỦA PHƯƠNG TÂY, ĐẶC B...",373150,Phương Nam Book,2021-06-01 00:00:00,17 x 24 cm,Bìa mềm,504,Nhà Xuất Bản Thế Giới,Dương Mạnh Hùng,,,,,,,,,
3,Đông Dương Tráng Lệ (Tập Ảnh),https://salt.tikicdn.com/cache/280x280/ts/product/b5/af/c0/20374b7d4ad46e9910a69b32e661fdc8.jpg,Sách tranh - artbook,Pierre Dieulefils,"Dành cho mọi du khách, nghệ sĩ, học trò hay đơn giản là kẻ hiếu kỳ.Cô đọng toàn bộ đời sống một dân tộc trong một tuyển tập ảnh không phải việc đơn giản; song phải thừa nhận người giới thiệu đến chú...",183200,Nhã Nam,2020-09-15 00:00:00,25 x 20.5 cm,Bìa cứng,166,Nhà Xuất Bản Thế Giới,Lang Sa.,,,,,,,,,
4,Đông Dương Xinh Đẹp Và Kỳ Vĩ (Indo-Chine Pittoresque & Monumentale),https://salt.tikicdn.com/cache/280x280/ts/product/e5/e6/f8/bce3f517504a6cf1f021349f5c63614b.jpg,Sách tranh - artbook,Pierre Dieulefils,"Đông Dương xinh đẹp và kỳ vĩ (Indo-chine Pittoresque & Monumentale)Từ cuối thế kỷ XIX, một số người Pháp đã bỏ nhiều công sức nghiên cứu, tìm hiểu nền văn hóa của chúng ta. Họ đã đi, đã chụp rất nhi...",441500,Công Ty Cổ Phần Văn Hóa Đông A,2020-08-01 00:00:00,38 x 27.5 cm,Bìa cứng,292,Nhà Xuất Bản Dân Trí,Lưu Đình Tuân dịch và chú giải,,,,,,,,,
5,"Vietnam, Mosaic of Contrasts 3",https://salt.tikicdn.com/cache/280x280/ts/product/54/e3/90/f9f5b6ca1879cebf94b8e136ca9345ec.jpg,Sách tranh - artbook,Réhahn,"Vietnam, Mosaic of Contrasts, Volume III represents the culmination of close to 9 years of research to meet all 54 ethnic groups in Vietnam for The Precious Heritage Project in addition to an immense ...",1250000, NXB Hồng Đức,2020-05-26 12:43:55,,Bìa cứng,182,hong duc,,,,,,,,,,
6,Hậu Cung Của Hoàng A Mão,https://salt.tikicdn.com/cache/280x280/ts/product/58/93/b2/023ea759e6f66f8f13026c1c48b3b69a.jpg,Sách tranh - artbook,"Zhi-Ming,Li Mao","HẬU CUNG CỦA HOÀNG A MÃO - Cuốn nhật kí sống động về cuộc sống thường ngày của Hoàng A Mão và các thành viên trong ""hoàng cung"" được kể bằng những bức ảnh chụp, nét vẽ đáng yêu và lời dẫn truyện hóm h...",62100,Wings Books,2019-12-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,192,,,,,,,,,,,
7,Sách Sài Gòn Then & Now - Sài Gòn Hai Đầu Thế Kỷ,https://salt.tikicdn.com/cache/280x280/ts/product/0c/87/b5/71d549f07512062f3038b5a170f287d8.jpg,Sách tranh - artbook,Phúc Tiến,    Sài Gòn Then & Now - Sài Gòn Hai Đầu Thế Kỷ      Nhà xuất bản : Nhà Xuất Bản Văn Hóa - Văn Nghệ.  Công ty phát hành : Phương Nam Book.  Tác giả : Phúc Tiến.  Kích thước : 18.5 x 21 cm...,319500,Phương Nam Book,2017-08-06 00:00:00,,Bìa cứng,271,Nhà Xuất Bản Văn Hóa - Văn Nghệ,,,,,,,,,,
8,Cám Ơn Ngày Thanh Xuân Rực Rỡ,https://salt.tikicdn.com/cache/280x280/ts/product/8d/04/06/ffc731b6404119015720134fc3e15427.jpg,Sách tranh - artbook,Jun Vũ,"“Thanh xuân”, là khoảng thời gian đẹp nhất của mỗi người, là những năm tháng niên hoa rực rỡ mà ngắn ngủi, là thứ mà sau này dù bạn có muốn đánh đổi bao nhiêu chăng nữa, cũng không thể quay trở lại.Và...",110400,Skybooks,2019-05-01 00:00:00,21 x 30 cm,Bìa mềm,156,Nhà Xuất Bản Phụ Nữ,,,,,,,,,,
9,Sài Gòn Portrait Of A City 2011-2020 (Sách Ảnh SN Anh - Việt),https://salt.tikicdn.com/cache/280x280/ts/product/c9/7b/c8/2a81188ef78d5f2f8a559fb5c68fec4e.jpg,Sách tranh - artbook,Alexandre Garel,"Sài Gòn Portrait Of A City 2011-2020 (Sách Ảnh A-V)   When I first arrived in Saigon in 2011, I fell in love with the city straight away. Over the next few years, I discovered the beauty of the city,...",1214500,Cty Nhân Trí Việt,,<p>25 x 25cm</p>,Bìa cứng,250,Nhà Xuất Bản Thế Giới,,,,,,,,,,
10,Kinh Gốm,https://salt.tikicdn.com/cache/280x280/ts/product/c5/9d/56/83c038f578ee0762c19f887bf9a2241e.jpg,Sách tranh - artbook,Lê Thiết Cương,"KINH GỐMTạng tính của tôi hợp với triết Đông hơn là triết Tây. Tôi đọc Kinh Dịch, Lão, Trang, Phật nhưng càng về sau thì càng thích tư tưởng của Phật giáo. Thích tự nhiên chứ không cố gắng gì. Có nhi...",400000,Liên Việt,,26 x 20.5 cm,Bìa mềm,158,Nhà Xuất Bản Hội Nhà Văn,,,,,,,,,,
11,Đi Tìm Momo - Tập Sách Ảnh Trốn Tìm (Tập 2),https://salt.tikicdn.com/cache/280x280/ts/product/90/39/ff/06a553b3d1e92d74c576d188f88ef2fc.jpg,Sách tranh - artbook,Andrew Knapp,Đi Tìm Momo - Tập Sách Ảnh Trốn Tìm (Tập 2)Chơi trốn tìm trong trang sách - tại sao không?!Và nhất là khi bạn có một người bạn đồng hành đáng yêu như Momo!!Momo là một chú chó giống Border Collie v...,91080,Wings Books,2018-03-19 00:00:00,19 x 20 cm,Bìa mềm,144,,Danna Nguyễn,,,,,,,,,
12,Happy Stories In America (Vietnamese Version),https://salt.tikicdn.com/cache/280x280/ts/product/8d/94/81/7603725cb5875120d90ae16fb78f8b5d.jpg,Sách tranh - artbook,Mr Happy,Happy Stories In America (Vietnamese Version)...,96000,CÔNG TY TNHH HAPPYBOOK,,,,,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,,,,,,
13,Đi Tìm Momo - Tập Sách Ảnh Trốn Tìm (Tập 1),https://salt.tikicdn.com/cache/280x280/ts/product/8e/59/e1/6d4722af8e6b8071fc2d8262b7c6be49.jpg,Sách tranh - artbook,Andrew Knapp,Đi Tìm Momo - Tập Sách Ảnh Trốn Tìm (Tập 1)Chơi trốn tìm trong trang sách - tại sao không?!Và nhất là khi bạn có một người bạn đồng hành đáng yêu như Momo!!Momo là một chú chó giống Border Collie v...,88100,Wings Books,2018-03-19 00:00:00,19 x 20 cm,Bìa mềm,148,,Danna Nguyễn,,,,,,,,,
14,Happy Stories In America (English Version),https://salt.tikicdn.com/cache/280x280/ts/product/7d/d8/22/333ea24154cf56626efb7ade71bef053.jpg,Sách tranh - artbook,Mr Happy,Happy Stories In America (English Version)...,96000,CÔNG TY TNHH HAPPYBOOK,,,,,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,,,,,,
15,Sách Cổ vật gốm sứ có trang kim,https://salt.tikicdn.com/cache/280x280/ts/product/12/f5/ec/79b864cf76a1134ab71fb48dcb839f5e.jpg,Sách tranh - artbook,Phạm Hy Tùng,"LỜI THƯACó lẽ cần nhắc lại, đề cập đến quá trình tiến hóa của nhân loại, các nhà khoa học đã đưa ra khái niệm về thời tiền sử, bao gồm hai giai đoạn là thời kỳ đồ đá và thời kỳ đồ đồng. Thời kỳ đồ đá...",717000,Nhà Xuất Bản Hồng Đức,,,Bìa cứng,230,Nhà Xuất Bản Hồng Đức,,Tiếng Việt ,,,,,,,,
16,Biển Trong Chúng Ta,https://salt.tikicdn.com/cache/280x280/ts/product/71/f4/36/56f0e8b0133f7874aaea85e70b1d4f07.jpg,Sách tranh - artbook,Photogapher Mỹ Dũng,Biển trong chúng ta...,240000,NXB Đà Nẵng,,,,,,,,,,,,,,,
17,Đông Dương Xinh Đẹp Và Kỳ Vĩ (Indo-Chine Pittoresque & Monumentale),https://salt.tikicdn.com/cache/280x280/ts/product/e5/e6/f8/bce3f517504a6cf1f021349f5c63614b.jpg,Sách tranh - artbook,Pierre Dieulefils,"Đông Dương xinh đẹp và kỳ vĩ (Indo-chine Pittoresque & Monumentale)Từ cuối thế kỷ XIX, một số người Pháp đã bỏ nhiều công sức nghiên cứu, tìm hiểu nền văn hóa của chúng ta. Họ đã đi, đã chụp rất nhi...",441500,Công Ty Cổ Phần Văn Hóa Đông A,2020-08-01 00:00:00,38 x 27.5 cm,Bìa cứng,292,Nhà Xuất Bản Dân Trí,Lưu Đình Tuân dịch và chú giải,,,,,,,,,
18,BLACKPINK 4REA 1ST PHOTOBOOK 2019 - Tặng Kèm 1 Banner + 1 Photocard (Mẫu Giao Ngẫu Nhiên),https://salt.tikicdn.com/cache/280x280/ts/product/a4/9c/e0/9d59816b39afce45d2282060c7dd87f2.jpg,Sách tranh - artbook,BLACKPINK 4REA,BLACKPINK 4REA 1ST PHOTOBOOK 2019 - Tặng Kèm 1 Banner + 1 Photocard (Mẫu Giao Ngẫu Nhiên)   BLACKPINK – nhóm nhạc nữ K-pop toàn tài từng bước chinh phục người hâm mộ trên toàn thế giới bằng chính sức...,191040,AZ Việt Nam,,,,,Nhà Xuất Bản Hà Nội,,,,,,,,,,
