tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,nhà phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả
Hồ Chí Minh - Tác Phẩm Bảo Vật Quốc Gia,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_51661.jpg,Chính trị,Hồ Chí Minh,"
Trong số các di sản mà Chủ tịch Hồ Chí Minh để lại cho chúng ta, có những tác phẩm quan trọng, không chỉ về tư tưởng mà còn quyết định vận mệnh của dân tộc Việt Nam, cách mạng Việt Nam. Đó là những viên ngọc quý, những tài sản, ""bảo bối"" Bác để lại cho chúng ta.
Nay Nhà xuất bản Trẻ rất vinh dự hân hạnh giới thiệu đến cho bạn đọc bộ sách Hồ Chí Minh - Tác phẩm Bảo vật quốc gia. Bộ sách gồm 5 tác phẩm đã được Nhà nước công nhận là bảo vật quốc gia (theo Quyết định số 1426/QĐ-TTg ngày 01/10/2012). Bộ sách gồm 5 quyển, khổ passport (9x12,5cm), được đóng chung trong một hộp. Sách có độ nén cao, cô đọng nhưng hình thức lại thoáng đãng, dễ theo dõi. Làm được điều đó là nhờ sách tận dụng ưu thế in màu và cách trình bày được tìm tòi, cân nhắc kỹ lưỡng. Cũng như các sách khác trong bộ sách Di sản Hồ Chí Minh nói chung và loạt sách khổ passport nói riêng, sách có kèm các hình ảnh minh họa và bút tích.
Năm bảo vật quốc gia mà bạn đang cầm trên tay bao gồm:
Đường Cách mệnh in nguyên văn bản in năm 1927. Toàn bộ lịch sử phong trào công nhân và đường lối cách mạng vô sản được tác giả chắt lọc trong một tập sách mỏng chỉ có 98 trang viết tay. Nếu quan sát và đối chiếu, độc giả sẽ thấy được cái tài của Bác khi biến những vấn đề phức tạp thành rất đơn giản và ngắn gọn, để người nghe, người đọc ai cũng hiểu, cũng nhớ và áp dụng được.
Nhật ký trong tù in đầy đủ 134 bài thơ theo bản dịch của Viện Văn học. Độc giả chắc đã biết đến nhiều bài thơ của Nhật ký trong tù hoặc thậm chí toàn bộ các bài thơ, nhưng sẽ cảm thấy cuốn sách bỏ túi của chúng tôi gần gũi và dễ theo dõi thế nào. Điều thú vị là nguyên bản của tập thơ chép trong một cuốn sổ tay khổ 9.5 x 12.5 cm, tương tự khổ sách mà bạn đang cầm trên tay.
Lời kêu gọi toàn quốc kháng chiến ra đời trong tình thế ""ngàn cân treo sợi tóc"" của dân tộc Việt Nam, là một áng văn bất hủ, thấm vào tâm can nhiều người đọc. Bản in của chúng tôi có QR code file âm thanh giọng đọc của Chủ tịch Hồ Chí Minh và phụ lục ảnh Bác trong thời kỳ kháng chiến chống Pháp.
Lời kêu gọi đồng bào và chiến sĩ cả nước ra đời trong bối cảnh đế quốc Mỹ đưa nửa triệu quân vào Việt Nam, như một lời hịch ""Không có gì quý hơn độc lập, tự do"". Sách có QR code file âm thanh giọng đọc của Chủ tịch Hồ Chí Minh và phụ lục ảnh Bác trong thời kỳ kháng chiến chống Mỹ.
Di chúc của Chủ tịch Hồ Chí Minh được trình bày khoa học, xen kẽ giữa các bản gốc chứa bút tích của Bác và bản ""gỡ băng"" để độc giả tiện đối chiếu, đồng thời thấy được suy nghĩ và cách viết của Bác qua quá trình viết và sửa chữa 3 bản năm 1965, 1968 và 1969. Sách tận dụng ưu thế in màu để làm rõ những chỗ Bác sửa chữa, rất tiện cho độc giả theo dõi. 
",175.000 đ,,NXB Trẻ,2020,12.5 x 9 cm,Bộ Hộp,484.0,
Dịch Học Tinh Hoa (Tái Bản 2021),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_228753.jpg,Chính trị,Thu Giang Nguyễn Duy Cần,"
Ngày nay ai cũng đều công nhận Kinh Dịch là một quyển kỳ thư của minh triết phương Đông, nó nói hết sự lý vô cùng vô tận của mọi sự mọi lẽ trong đời. Nhưng học dịch không phải là việc dễ dàng vì bản văn và cách hành văn của kinh Dịch quá cô đọng, lại dùng ngôn ngữ biểu tượng nên càng ngày càng trở nên bí hiểm với phần đông đọc giả chúng ta ngày nay. Dịch học tinh hoa của Nguyễn Duy Cần trình bày những phần cốt lõi và tinh hoa nhất của tác phẩm Chu Dịch, giúp người đọc có hiểu biết căn bản từ thấp tới cao, cũng như những ứng dụng của Chu Dịch vào đời sống hiện đại. 
",110.000 đ,,NXB Trẻ,2021,19 x 13 x 1.5 cm,Bìa Mềm,343.0,
Bản Ngã - Thấu Hiểu Và Tan Biến,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_236564.jpg,Chính trị,"David R Hawkins MD, PhD","
  Tôi là ai? Câu hỏi lớn nhất của triết học cũng là băn khoăn lớn nhất của mỗi người trên hành trình khám phá bản thân và ý nghĩa cuộc sống. Tiến sĩ David R. Hawkins so sánh “thế giới của bản ngã giống như một ngôi nhà làm bằng kính, nơi bản ngã lang thang một cách vô định và mơ hồ, đuổi theo những hình ảnh phản chiếu qua các tấm gương”. Thế giới trong suốt ấy giam cầm và trói buộc tâm hồn chúng ta như một mê cung không lối thoát.
“Bản Ngã – Thấu hiểu và tan biến” là hành trình đi tìm cái tôi chân thực, phá vỡ mọi ảo ảnh và ngụy biện sai lệch để ánh sáng thực tại và hạnh phúc chiếu rọi, như “Mặt trời luôn chiếu sáng, chỉ cần chúng ta loại bỏ những đám mây”.
Cuốn sách tập hợp những thông điệp truyền cảm hướng từ các tác phẩm nổi tiếng của Tiến sĩ David R. Hawkins, từ đó người đọc được nhắc nhở về bản chất ảo tưởng của cái tôi cá nhân (đó là nỗ lực xác định bản ngã/tâm trí) và những con đường trực tiếp để vượt thoát những cạm bẫy của bản ngã / tâm trí.
Với những đoạn trích được chọn lọc mang ý nghĩa rõ ràng, cuốn sách được thiết kế hướng đến sự thuận tiện và rõ ràng trong việc sử dụng. Cuốn sách như người bạn đồng hành với độc giả trên con đường tìm kiếm lẽ thật tâm linh và khám phá bản thể bên trong, truyền cảm hứng cho sự chiêm nghiệm và suy ngẫm. Đó là có thể là trong thời gian nghỉ ngơi tại nơi làm việc, khi đi bộ đường dài trong rừng, trong khoảnh khắc yên tĩnh ở quán cà phê hay trên máy bay - trong bất kỳ môi trường nào mà bạn có thể tìm thấy chính mình. Tan biến bản ngã, nhận ra cái tôi là người bạn đồng hành đáng tin cậy trong hành trình hướng tới chân lý cao hơn của những người khao khát.
Cách tiếp cận tiến bộ tâm linh mà Tiến sĩ Hawkins giải thích không phải là việc “đi đến đâu đó”, vì không có “nơi nào” để đến cả. Thay vào đó, bạn được hướng dẫn để vượt qua cái tôi của mình và gạt bỏ mọi ảo tưởng để Sự Thật được phơi bày. Như ông giải thích trong nhiều bài nói chuyện của mình, “Mặt trời luôn chiếu sáng; bạn chỉ cần loại bỏ những đám mây.”
Những bài giảng của Tiến sĩ Hawkins so sánh bản ngã/tâm trí như một ngôi nhà có kết cấu phức tạp được tạo nên từ những tấm gương. Là một giáo viên giỏi và một nhà thần bí, ông hướng dẫn ta thoát khỏi những sai lệch và ngụy biện về tri giác để đến với Ánh sáng của Ý thức. Những lời dạy của ông đại diện cho một ngọn hải đăng chân lý chỉ dẫn cho bất kỳ ai khao khát tâm linh đạt được mức độ ý thức cao hơn.
Bạn sẽ nhận thấy Tiến sĩ Hawkins làm sáng tỏ ảo tưởng về tính hai mặt (cảm giác tách biệt giữa “cái này” khi quan sát “cái kia”) và bản chất thực sự của Tính Chủ quan, Thực tại và Sự Thật với độ chính xác vượt trội trong văn học tâm linh. 
",129.000 đ,,NXB Lao Động,2021,20 x 13 cm,Bìa Mềm,204.0,
Quân Vương - Thuật Cai Trị (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/q/u/quanvuong.jpg,Chính trị,Niccolò Machiavelli,"
Quân Vương - Thuật Cai Trị (Tái Bản 2018)
Đây là cuốn sách gối đầu giường của rất nhiều thế hệ chính trị gia và lãnh đạo trên thế giới.
Cuốn sách nhỏ của Niccolò Machiavelli đã hội tự những nguyên tắc làm nền móng cho khoa học quản trị nói chung và chính trị học nói riêng.
Người ta sẽ luôn đọc Quân vương chừng nào con người vẫn chưa thôi trò chơi nguy hiểm nhưng hấp dẫn có cái tên ""chính trị"".
Qua cuốn sách, độc giả sẽ tìm ra chân dung một vị quân vương hình mẫu : keo kiệt hay rộng lượng, độc ác hay nhân từ, thất hứa hay giữ lời nếu lời hứa đi ngược lại lợi ích của mình, phải làm gì để tránh bị dân chúng căm ghét, phải thực thi những hành động lớn lao để nâng cao uy tín của mình.
Cuốn sách bàn về khoa học chính trị của nhà ngoại giao, nhà triết học và nhà quân sự người Ý – Niccolò Machiavelli. Xuất hiện lần đầu tiên vào năm 1513 nhưng mãi đến năm 1532, ấn bản đầu tiên mới được chính thức xuất bản dưới sự cho phép của Giáo hoàng Clement VII.
TÁC GIẢ: Niccolò Machiavelli (1469-1527)
Sinh tại thành phố Florence, Italia, được xem là sáng tổ của nền khoa học chính trị hiện đại. Ông phụng sự nền cộng hòa Florence đảm nhận vị trí quan trọng trong ngoại giao và quân sự. Sau khi gia đình Medici trở lại nắm quyền vào năm 1512, ông bị bãi chức. Tác phẩn Quân vương được ông viết để dâng tặng nhà Medici nhằm chứng tỏ sự tận tâm của mình để được tiến cử tham gia chính sự. 
",109.000 đ,,NXB Thế Giới,03-2018,14 x 20.5,Bìa Mềm,200.0,
Chu Dịch Huyền Giải (Tái Bản 2021),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_230549.jpg,Chính trị,Thu Giang Nguyễn Duy Cần,"
Chu Dịch huyền giải của tác giả Nguyễn Duy Cần trình bày ứng dụng kinh Dịch vào việc nhận định những hiện tượng xã hội trong thời hiện đại. Việc ứng dụng  thuyết Tứ Tượng trong kinh Dịch để phân tích những hiện tượng xã hội diễn ra hàng ngày.
Chu Dịch huyền giải là một tác phẩm “ứng dụng Dịch”, bổ sung vào tủ sách về Triết học phương Đông của tác giả Thu Giang nhằm giúp bạn đọc có được cái nhìn đầu tiên đúng đắn về ứng dụng Kinh Dịch vào quan sát xã hội, con người. Từ đó, mục đích cuốn sách nhằm giúp người đọc có thể đưa ra những phát đoán và dự báo đúng bản chất của sự vật phù hợp với tinh thần biện chứng Đông Phương.
Xuyên suốt nội dung của cuốn sách Chu Dịch Huyền Giải là việc đưa ra lập luận sáng rõ và những cơ sở trong việc ứng dụng Nhất nguyên luận hay còn gọi chung là tinh thần của Đạo học. 
",90.000 đ,,NXB Trẻ,2021,19 x 13 cm,Bìa Mềm,244.0,
Tự Do Đầu Tiên Và Cuối Cùng - The First and Last Freedom,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/t/u/tudodautienvacuoicungfn-_bia-1.jpg,Chính trị,Krishnamurti,"
Tự Do Đầu Tiên Và Cuối Cùng - The First and Last Freedom
“Tự do đầu tiên và cuối cùng” tập hợp 20 bài nói chuyện và 38 lời giải đáp thắc mắc về nhiều chủ đề của triết gia Ấn Độ thế kỷ XX-  Jiddu Krishnamurti (1895-1986). Đây cũng là một trong những tựa sách đầu tiên đưa tên tuổi Krishnamurti trở thành một triết gia có ảnh hưởng lớn đối với thế giới.
Trong “Tự do đầu tiên và cuối cùng”, Krishnamurti nhấn mạnh tầm quan trọng của việc thoát khỏi mọi định kiến, quy định, thoát khỏi mạng lưới tư duy, mọi hệ thống, uy quyền, để có được sự tự do tuyệt đối. Ông chỉ ra rất rõ những sai lầm, như tư duy đúng đắn không phải là kết quả của sự trau dồi trí năng đơn thuần hay tuân theo khuôn mẫu – dù khuôn mẫu ấy cao quý đến đâu đi nữa. Ông cũng nhấn mạnh tư duy đúng phải đi kèm với sự tự biết mình.
Khác với những cuốn sách khác về tinh thần, “Tự do đầu tiên và cuối cùng” sâu sắc ở chỗ Krishnamurti đã chỉ ra rằng thông qua sự lặp đi lặp lại, tâm trí có thể trở nên tĩnh lặng. Nhưng nếu mắc kẹt lại ở đây, việc lặp lại này sẽ trở thành hình thức thay thế cho việc tìm kiếm Sự Thật. Hoặc, bằng việc tập trung tư tưởng tuyệt đối vào một thứ gì, bạn sẽ xây dựng một bức tường ngăn cách - nơi chỉ bồi dưỡng, vun đắp cho sự kháng cự và sự tập trung riêng vào một ý niệm ta lựa chọn.
Krishnamurti đem đến một khái niệm mới là “Thực tại sáng tạo” - đó là khi chúng ta lãnh hội với một nhận thức không chọn lựa, định kiến, so sánh. Khi “thực tại sáng tạo” đi vào bản ngã và tiềm thức, con người sẽ xuất hiện tình thương và sự hiểu biết đích thực. Đó là sự tự do hoàn toàn trong tâm trí, khi sự thật hiện hữu trong từng khoảnh khắc. Đó là tình yêu thương không mang tính cá nhân hay phi cá nhân, không thể định nghĩa hay mô tả bằng tâm trí, dù riêng biệt hay bao hàm.
 Chỉ khi có được sự “tự do đầu tiên và cuối cùng” này, thì con người mới loại bỏ những hoạt động vị ngã như những xung đột, những mối nguy hại, lừa dối có mục đích. Khi quá trình này dừng lại, tình yêu thương và nhận thức đúng đắn xuất hiện, con người mới có thể giải quyết được các vấn đề gây khủng hoảng, chấm dứt chiến tranh, đau khổ, suy sụp… Đây là tư tưởng trọng yếu và bao quát trong tất cả các tác phẩm của Krishnamurti.
“Tự do đầu tiên và cuối cùng” tập hợp những bài nói chuyện và giải đáp thắc mắc trực tiếp của chính Krishnamurti trong các buổi diễn thuyết. Mỗi một bài nói chuyện được chia thành những chủ đề đi thẳng vào phần nội tâm, bản ngã con người như niềm tin, ý niệm, tâm trí, sự thù hận, quyền lực, nhận thức… hay những chủ đề cụ thể như cầu nguyện, thiền, chiến tranh …  Cuốn sách là tập hợp đồ sộ và bao quát tư tưởng, góc nhìn, nhận xét sâu sắc của Krishnamurti đối với các vấn đề của từng con người và toàn thể nhân loại.
Ra mắt lần đầu tiên vào năm 1954, sau hơn 60 năm, cuốn sách “Tự do đầu tiên và cuối cùng”, cùng những lời giảng dạy của đại hiền triết Krishnamurti vẫn để lại những giá trị vô cùng to lớn, có thể nói là “vượt thời gian”. Đây là cuốn sách không thể bỏ qua với những người yêu tri thức và mong muốn hoàn thiện mình.
Jiddu Krishnamurti được mệnh danh là “đại hiền triết” của thế kỷ XX. Tác phẩm “Tự do đầu tiên và cuối cùng” được xem là tác phẩm quan trọng nhất để hiểu được tư tưởng của ông. 
BOX
Jiddu Krishnamurti (12/5/1895–17/2/1986) là một tác gia và nhà diễn thuyết nổi tiếng về triết học và các vấn đề tinh thần. Các chủ đề ông quan tâm thường là: mục đích của thiền định, mối quan hệ giữa con người, phương cách để tạo nên sự thay đổi xã hội tích cực trên phạm vi toàn cầu. Cuộc sống và những lời dạy của Jiddu Krishnamurti trải dài trong phần lớn thế kỷ XX, được nhiều người tôn vinh là một con người có ảnh hưởng sâu sắc nhất vào ý thức nhân loại trong thời đại hiện nay.
Toàn bộ tác phẩm của Jiddu Krishnamurti và các tác phẩm viết về ông tương đương với khoảng 400 quyển sách cỡ trung. Đã có trên 70 đầu sách tổng hợp nội dung từ những buổi diễn thuyết, thảo luận trên khắp thế giới của Krishnamurti được phát hành và tái bản nhiều lần.
Ở tuổi 90, Kisthnamurit đã diễn thuyết tại Liên Hợp Quốc về chủ đề hòa bình và nhận thức. Ông được trao tặng Huân chương Hòa Bình của Liên Hợp Quốc vào năm 1984.
Những tác phẩm khác đã được xuất bản ở Việt Nam: Bạn đang nghịch gì với đời mình?,Giáo dục và ý nghĩa cuộc sống, Tự do vượt trên sự hiểu biết….  
",178.000 đ,,NXB Tổng Hợp TPHCM,2020,20.5 x 14.5 cm,Bìa Mềm,429.0,
Trang Tử Nam Hoa Kinh (Tái Bản 2021),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_238727.jpg,Chính trị,Thu Giang Nguyễn Duy Cần,"
Là tác phẩm do học giả Thu Giang Nguyễn Duy Cần dịch và bình chú bản Trang Tử Nam Hoa Kinh. Đây à tác phẩm dịch và bình chú Nam Hoa Kinh của Trang Tử rõ ràng, mạch lạc được mọi giới công nhận là bản dịch tốt từ trước đến nay. 
",150.000 đ,,NXB Trẻ,2021,19 x 13 cm,Bìa Mềm,520.0,
Lược Sử Triết Học,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_222109.jpg,Chính trị,Nigel Warburton,"
“Qua nhiều năm, Nigel Warburton lặng lẽ trở thành một trong những triết gia được nhiều người đọc nhất trong thời đại của chúng ta […] mà không cần tới những mánh lới quảng cáo, không cần đến văn chương hoa mĩ, chỉ có sự sáng rõ, súc tích và chính xác đáng ngưỡng mộ […] Lược sử Triết học có thể trở thành một món ăn tinh thần bổ dưỡng hoặc cung cấp nguồn nhiên liệu tuyệt vời cho ai đó bắt đầu dấn thân vào hành trình triết học.” – The Guardian
Triết học quan tâm tới vấn đề cốt lõi của nhân sinh: đó chính là bản chất của thực tại và cách sống mà chúng ta nên lựa chọn. Hình ảnh triết gia Socrates, người được xem là ông tổ của triết học phương Tây, ngày ngày lang thang khắp phố thị Athen, đặt ra những câu hỏi khiến người khác phải lúng túng để rồi vỡ lẽ ra rằng những điều họ thấu hiểu về thế giới, về cuộc đời và về chính mình quả thực rất ít ỏi, đã trở thành biểu tượng của một nhà triết học chân chính hàng nghìn năm qua.
Cuốn Lược sử Triết học hấp dẫn mà bạn đang cầm trên tay không chỉ giới thiệu những triết gia vĩ đại nhất của truyền thống triết học phương Tây mà còn khám phá những tư tưởng cuốn hút của họ về thế giới cũng như cách lý tưởng nhất để sống với thế giới. Gói gọn trong bốn mươi chương nội dung, Nigel Warburton đưa chúng ta lướt qua một loạt tư tưởng quan trọng trong lịch sử triết học. Những mẩu chuyện thú vị xoay quanh cuộc sống cũng như cái chết của các triết gia “đa sự” được ông đề cập trong tác phẩm này – từ những triết gia cổ đại bàn luận về tự do hay linh hồn, cho đến Peter Singer, người khơi gợi suy ngẫm tới những vấn đề nhức nhối về triết lý cũng như luân lý đang ám ảnh thời đại mà chúng ta đang sống.
Qua sự dẫn dắt của ngòi bút Warburton, triết học không khô khan như ta tưởng mà có sự thú vị và cuốn hút đầy trí tuệ. Hơn thế, ông đã truyền cảm hứng cho tất cả chúng ta cùng suy ngẫm, bàn thảo, biện luận và đặt ra thêm những câu hỏi mới. Lược sử Triết học đã phác họa những nét khái quát nhất về công cuộc đốt đuốc đi tìm tri thức triết học suốt chiều dọc lịch sử nhân loại. Và nay, nó đang mời gọi chúng ta hãy bước tiếp cuộc hành trình đó.
TÁC GIẢ:
Nigel Warburton (1962) là một nhà nghiên cứu triết học đương đại. Ông hiện đang là giảng viên chính tại Khoa Triết học, Trường Đại học Mở (Open University), Anh Quốc. Song song với việc giảng dạy, ông còn phụ trách nội dung cho một kênh podcast, một website tổng hợp về triết học cùng với một khóa học về nghệ thuật và triết học tại Tate Modern Gallery được nhiều người yêu thích. Ngoài Lược sử triết học, các tác phẩm ông đã xuất bản (chưa được dịch sang tiếng Việt) gồm có Philosophy: The Basics (Triết học: Những điều căn bản) (1992), Philosophy: The Classics (Triết học: Những kinh điển), Thinking from A to Z (Tư duy từ A đến Z) (1996), The Art Question (Câu hỏi về Nghệ thuật) (2001), và Free Speech: A Very Short Introduction (Quyền tự do ngôn luận: Một dẫn luận ngắn) (2009). 
",142.000 đ,,NXB Thế Giới,2021,24 x 15.5 cm,Bìa Mềm,300.0,
Những Mẫu Chuyện Về Tấm Gương Đạo Đức Hồ Chí Minh - Tập 1,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_55836.jpg,Chính trị,Ban Tuyên Giáo Trung Ương,"
Cuốn sách Những mẩu chuyện về tấm gương đạo đức Hồ Chí Minh do Trung tâm Thông tin công tác tuyên giáo của Ban Tuyên giáo Trung ương phối hợp với Nhà xuất bản Chính trị quốc gia Sự thật xuất bản gồm 2 tập.
Tập 1 gồm 66 câu chuyện. Tập 2 gồm 84 câu chuyện. Qua các mẩu chuyện, cuốn sách góp phần nâng cao nhận thức cho cán bộ, đảng viên, công chức, viên chức và nhân dân về giá trị to lớn của tấm gương đạo đức Hồ Chí Minh, tạo ra những chuyển biến trong ý thức tu dưỡng, rèn luyện và hành động theo tấm gương đạo đức Hồ Chí Minh, góp phần đẩy lùi sự suy thoái về chính trị, đạo đức, lối sống và các tệ nạn xã hội; xây dựng Đảng trong sạch, vững mạnh, củng cố niềm tin của nhân dân vào sự lãnh đạo của Đảng; giáo dục và hướng con người tới cái chân, thiện, mỹ. 
",82.000 đ,,NXB Chính Trị Quốc Gia Sự Thật,2020,14.5 x 10 x 1.6 cm,Bìa Mềm,422.0,
Chính Trị Luận (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8935270700195.jpg,Chính trị,Aristotle,"
Chính Trị Luận (Tái Bản 2018)
Tác phẩm nổi tiếng viết về các khái niệm mà từ đó định hình các quốc gia và chính phủ. Mặc dù, Aristotle cổ vũ mạnh mẽ cho chế độ nô lệ lạc hậu, quan điểm của ông về Hiến pháp và cách điều hành chính phủ lại rất kinh điển. Dù chỉ thảo luận về nhà nước và các định chế thời Hy Lạp cổ nhưng tác phẩm này của ông đã đặt nền tảng cho khoa học chính trị hiện đại.
Tác phẩm này được xem là căn bản cho Chính trị học Tây phương. Chính trị luận nghiên cứu các vấn đề cơ bản về nhà nước, chính quyền, chính trị, tự do, công bằng, tài sản, quyền, luật và việc thực thi luật pháp của các cơ quan thẩm quyền.
Aristotle là biểu tượng của trí tuệ tư duy triết học. Mặc dù nội dung rất sâu sắc nhưng cách trình bày của ông lại rất dễ hiểu. Ông viết những suy nghĩ của mình một cách rõ ràng với độ chính xác siêu phàm. Học thuyết của ông có ảnh hưởng lớn đến những lĩnh vực hiện đại như : khoa học, chủ nghĩa duy thực và logic học
Theo Aristotle, là một người tốt không thôi chưa đủ. Nếu người dân tốt mà không tích cực tham gia vào đời sống chính trị của chế độ thì chế độ đó có cơ nguy trở thành thoái hóa và trở thành một chế độ xấu. – Dịch giả Nông Duy Trường 
",169.000 đ,,NXB Thế Giới,2018,20.5 x 14 cm,Bìa Mềm,440.0,
Những Mẫu Chuyện Về Tấm Gương Đạo Đức Hồ Chí Minh - Tập 2,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_55837.jpg,Chính trị,Ban Tuyên Giáo Trung Ương,"
Cuốn sách Những mẩu chuyện về tấm gương đạo đức Hồ Chí Minh do Trung tâm Thông tin công tác tuyên giáo của Ban Tuyên giáo Trung ương phối hợp với Nhà xuất bản Chính trị quốc gia Sự thật xuất bản gồm 2 tập.
Tập 1 gồm 66 câu chuyện. Tập 2 gồm 84 câu chuyện. Qua các mẩu chuyện, cuốn sách góp phần nâng cao nhận thức cho cán bộ, đảng viên, công chức, viên chức và nhân dân về giá trị to lớn của tấm gương đạo đức Hồ Chí Minh, tạo ra những chuyển biến trong ý thức tu dưỡng, rèn luyện và hành động theo tấm gương đạo đức Hồ Chí Minh, góp phần đẩy lùi sự suy thoái về chính trị, đạo đức, lối sống và các tệ nạn xã hội; xây dựng Đảng trong sạch, vững mạnh, củng cố niềm tin của nhân dân vào sự lãnh đạo của Đảng; giáo dục và hướng con người tới cái chân, thiện, mỹ. 
",69.000 đ,,NXB Chính Trị Quốc Gia Sự Thật,2020,14.5 x 10 x 1.2 cm,Bìa Mềm,310.0,
