,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, số trang, tác giả, định dạng, nhà xuất bản
74,Hồ Chí Minh Bàn Về Phong Cách,https://www.vinabook.com/images/thumbnails/product/240x/338067_p87547mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,," Khi nghiên cứu về Hồ Chí Minh chúng ta có thể tiếp cận đến Người ở nhiều góc độ khác nhau: Hồ Chí Minh – một công dân, một nhà báo, một chiến sĩ cách mạng, một nhà hoạt động chính trị, một danh nhân văn hóa, một lãnh tụ, v.v.. Nhưng, cho dù tiếp cận ở góc độ nào thì đạo đức và phong cách của Người vẫn là những điểm son, những viên ngọc trong toàn bộ tư tưởng và sự nghiệp của Người.Mời bạn đón đọc. ",35.000,,,,,,,,,,,,, 110.00 gam , 13 x 20.5 cm , 8934974162452 , 05/2019 , Tiếng Việt ,, NXB Trẻ , 52 ,, Bìa mềm , Nxb Trẻ 
75,Những Mẩu Chuyện Về Đời Hoạt Động Của Hồ Chủ Tịch,https://www.vinabook.com/images/thumbnails/product/240x/338060_p87546mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Trần Dân Tiên     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách gồm những câu chuyện kể về đời hoạt động của Chủ tịch Hồ Chí Minh từ lúc Người ra đi tìm đường cứu nước cho đến những ngày đầu của cuộc kháng chiến thần thánh của nhân dân ta chống thực dân Pháp xâm lược. Trải qua một cuộc đời oanh liệt, đầy gian khổ và hy sinh, chủ tịch Hồ Chí Minh đã nêu tấm gương đạo đức cách mạng vô cùng trong sáng và đẹp đẽ. Sách thuộc bộ sách DI SẢN HỒ CHÍ MINH.Mời bạn đón đọc. ",72.000,,,,,,,,,,,,, 242.00 gam , 13 x 20.5 cm , 8934974162490 , 05/2019 , Tiếng Việt ,, NXB Trẻ , 184 , Trần Dân Tiên , Bìa mềm , Nxb Trẻ 
76,Lời Bác Dạy Thanh Thiếu Nhi,https://www.vinabook.com/images/thumbnails/product/240x/336678_p87365mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Trần Văn Phương     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Những câu nói, bài thơ và những lời phát biểu của Chủ tịch Hồ Chí Minh dành cho thanh thiếu nhi là những bài học hay cho thanh thiếu nhi cả nước ngày nay học tập, noi theo tư tưởng, đạo đức, phong cách của Người.Mời bạn đón đọc. ",52.000,,,,,,,,,,,,, 220.00 gam , 13 x 20.5 cm , 8934974161066 , 03/2019 , Tiếng Việt ,, NXB Trẻ , 168 , Trần Văn Phương , Bìa mềm , Nxb Trẻ 
77,Fear - Trump Ở Nhà Trắng,https://www.vinabook.com/images/thumbnails/product/240x/333771_p86803mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Bob Woodward 
                                                                                                                                            Bob Woodward
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Năm 2016, cả thế giới sửng sốt về chiến thắng của tân binh Donald Trump trước cựu binh lão luyện và được nhiều người kỳ vọng Hillary Clinton.Kể từ đó, nước Mỹ nói riêng và thế giới nói chung cùng trải qua những khoảnh khắc dở mếu dở cười trong tâm trạng thắc thỏm triền miên vì không biết chuyện gì sẽ xảy ra tiếp theo. Chưa có nhiệm kỳ tổng thống nào mà công chúng lại được nhận tin về các quyết sách quan trọng của chính phủ qua những bài đăng ngắn ngủi dài 280 ký tự trên trang mạng xã hội Twitter, chưa có nhiệm kỳ tổng thống nào mà sự đến đi của các nhân vật trong Nhà Trắng lại rầm rộ, lũ lượt, bất thường, và bất ngờ như vậy. Điều gì đang diễn ra với Trump trong Nhà Trắng vậy?Fear: Trump ở Nhà Trắng là cuốn sách táo bạo, trả lời thẳng thắn cho câu hỏi trên. Đây là công trình công phu của Bob Woodward, miêu tả trần trụi và sống động những cuộc tranh luận, quá trình ra quyết định và cuộc sống bên trong Nhà Trắng từ nguồn cấp tin chính là những con người đã và đang sống ở đó.Cuốn sách Fear: Trump ở Nhà Trắng đáp ứng niềm mong đợi của mọi người đến nỗi ngay trong tuần đầu tiên ra mắt đã bán được 1,1 triệu bản – một kỷ lục trong lịch sử 124 năm hoạt động của Simon & Schuster.Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 726.00 gam , 15.5 x 24 cm , 8935280902671 , 04/2019 , Tiếng Việt , Khánh Trang , Thái Hà , 480 , Bob Woodward , Bìa mềm , Nxb Thế giới 
78,Khuyến Học (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/327009_p86120mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Fukuzawa Yukichi 
                                                                                                                                            Fukuzawa Yukichi
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khuyến học không phải là tác phẩm đồ sộ và sâu sắc nhất của ông nhưng lại là tác phẩm có ảnh hưởng sâu rộng nhất đến công chúng Nhật Bản. Khi mới đựơc in lần đầu, cuốn sách này có một số lượng ấn bản kỷ lục là 3,4 triệu bản, trong khi dân số Nhật Bản thời đó chỉ khoảng ba mươi lăm triệu người. Chỉ riêng điều đó đã cho thấy đây thực sự là cuốn sách gối đầu giường của mọi người dân Nhật trong thời kỳ Duy Tân. Kể từ năm 1942 đến năm 2000, riêng nhà xuất bản Iwanami Bunko cũng đã tái bản đến bảy mươi sáu lần.Trong cuốn sách này, Fukizawa Yukichi đề cập tinh thần cơ bản của con người và mục đích thực thụ của học vấn. Với các chương viết về sự bình đẳng, quyền con người, ý nghĩa của nền văn học mới, trách nhiệm của nhân dân và chính phủ trong một quốc gia pháp trị",65.000,,,,,,,,,,,,, 286.00 gam , 13 x 20.5 cm , 8935235220317 , 12/2018 , Tiếng Việt , Phạm Hữu Lợi , Nhã Nam , 248 , Fukuzawa Yukichi , Bìa mềm , Nxb Thế giới 
79,Đại Tướng Võ Nguyên Giáp - Những Khoảnh Khắc Còn Mãi,https://www.vinabook.com/images/thumbnails/product/240x/321827_p85475mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Trần Hồng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ghi lại cuộc đời một con người bằng câu chữ là điều thông thường chúng ta hay gặp, song việc ghi lại cuộc đời của một người phi thường, một vị Đại tướng, một vĩ nhân, một anh hùng dân tộc bằng những bức ảnh là một điều đặc biệt của Đại tá - Nhà báo - Nhiếp ảnh gia Trần Hồng, nguyên phóng viên báo Quân đội nhân dân đã thực hiện trong suốt sự nghiệp cầm máy của ông. Với ông, đó là niềm đam mê mãnh liệt của cả một đời, đồng thời cũng là tình cảm sâu nặng của ông đối với một vị tướng tài, người anh Cả của quân đội nhân dân Việt Nam.Trong tập sách ảnh Võ Nguyên Giáp - Những khoảnh khắc còn mãi này, Trần Hồng vừa là người chụp ảnh vừa là người kể chuyện đã đưa chúng ta đến gần hơn với vị tướng của lòng dân. Những bức ảnh như biết nói để lay cảm từng trái tim biết khóc vậy.Tháng 10/1994, Đại tướng Võ Nguyên Giáp nói với Đại tá - Thư kí Nguyễn Huyên là hãy để cho phóng viên Trần Hồng vào gặp Người bất kì lúc nào, và đó cũng là cơ duyên giúp Trần Hồng có được những bức ảnh độc, vô cùng đặc biệt về cuộc đời của Đại tướng Võ Nguyên Giáp mà chỉ riêng Trần Hồng mới có. Đây cũng chính là series ảnh ấn tượng nhất về tướng Giáp của những năm tháng ông gần như ở cả ngày tại căn nhà số 30 Hoàng Diệu, Hà Nội.Mời bạn đón đọc. ",250.000,,,,,,,,,,,,, 1100.00 gam , 23 x 25 cm , 9786045651353 , 11/2018 , Tiếng Việt ,, NXB Phụ Nữ , 148 , Trần Hồng , Bìa cứng , NXB Phụ Nữ 
80,Đại Tướng Mai Chí Thọ,https://www.vinabook.com/images/thumbnails/product/240x/320449_p85279mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Thị Ngọc Hải 
                                                                                                                                            Nguyễn Thị Ngọc Hải
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đại tướng Mai Chí Thọ tên thật là Phan Đình Đống, bí danh Năm Xuân, Tám Cao. Ông sinh ngày 15 - 7 - 1922 tại thôn Địch Lễ, xã Nam Vân, huyện Nam Trực, tỉnh Nam Định.Ông là con thứ 5 trong gia đình, em ruột của nhà ngoại giao Lê Đức Thọ và Thượng tướng Đinh Đức Thiện, cha đẻ của đường mòn Hồ Chí Minh.Ông tham gia cách mạng từ năm 1936, vào Đảng Cộng sản Đông Dương năm 1939. Ông từng bị thực dân Pháp bắt giam vài năm.Ông là người lãnh đạo lực lượng Công an Nam Bộ từ năm 1945 (khi đó gọi là Quốc gia tự vệ cuộc).Ông từng làm Chủ tịch UBND Thành phố Hồ Chí Minh kiêm Giám đốc Công an Thành phố thời kỳ trước đổi mới.Tháng 6 - 1985, ông làm Phó Bí thư thường trực, rồi Bí thư Thành ủy Thành phố Hồ Chí Minh.Tháng 12 - 1987, ông làm Bộ trưởng Bộ Nội vụ. Sau đó, ông được phong là đại tướng và trở thành bộ trưởng đầu tiên của ngành công an Việt Nam mang quân hàm đại tướng.Ông là ủy viên Bộ Chính trị khóa VI, là đại biểu Quốc hội các khóa VI, VII, VIII.Nghỉ hưu từ năm 1991, ông về sinh sống tại Thành phố Hồ Chí Minh, tập trung viết hồi ký và các hoạt động xã hội.8 giờ sáng ngày 28 - 5 - 2007 ông đã ra đi sau một cơn bạo bệnh tại Bệnh viện Quân y 108 (Hà Nội).Ông được xem là một trong những nhà lãnh đạo có đường lối cứng rắn, đóng vai trò chủ yếu trong việc xây dựng ngành công an của nước Việt Nam thống nhất thời tại vị (1986-1991). Ông được Nhà nước Việt Nam phong hàm Đại tướng Công an Nhân dân đầu tiên của Việt Nam năm 1989.Ngày 12 - 1 -2007, ông được trao tặng Huân chương Sao Vàng, Huân chương cao quý nhất của Đảng và Nhà nước ta.Mời bạn đón đọc. ",99.000,,,,,,,,,,,,, 308.00 gam , 13.5 x 20.5 cm , 9786045880623 , 11/2018 , Tiếng Việt ,, NXBTH TPHCM , 320 , Nguyễn Thị Ngọc Hải , Bìa mềm , Nxb Tổng hợp TP.HCM 
81,Gương Hi Sinh - Những Bài Học Thành Công,https://www.vinabook.com/images/thumbnails/product/240x/317424_p84888mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Hiến Lê 
                                                                                                                                            Nguyễn Hiến Lê
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Để đạt được thành công, bắt buộc bạn phải hy sinh. Vậy những người thành công hơn bạn họ đã phải hy sinh những gì? Bạn hãy tìm hiểu cuốn sách Gương Hi Sinh - Những Bài Học Thành Công của Nguyễn Hiến Lê để tìm ra câu trả lời.Trong cuốn sách Gương Hi Sinh - Những Bài Học Thành Công, Nguyễn Hiến Lê sẽ cung cấp cho độc giả những hiểu biết đầy đủ về 10 vị danh nhân nổi tiếng của thế giới: những thành công của họ và câu chuyện họ đã phải đánh đổi điều gì để đạt được thành công đó.Mười vị danh nhân trong cuốn sách này là mười nhà bác học, nhà phát minh nổi tiếng trên thế giới. Những vị đó đều có công lớn với khoa học, đều làm thay đổi đời sống của chúng ta, giúp chúng ta tiến bộ và phát triển từng ngày. Đây đều là những tấm gương hy sinh cho cái “Chân”, đôi khi cho cả cái “Mỹ”, đều coi thường vinh hoa phú quý và chỉ tìm hạnh phúc của mình trong hạnh phúc của nhân loại. Họ không phải những người có siêu năng lực, họ cũng chỉ là những con người bình thường như chúng ta mà thôi. Vậy họ đã làm những gì để làm được điều mà biết bao con người hằng mơ ước?Ví dụ như nhà sinh vật học người Pháp – Louis Pasteur, ông là người đầu tiên chế tạo ra vắc-xin phòng bệnh dại. Trong quá trình tạo ra vắc-xin ông gặp không ít những khó khăn, nhưng niềm hy vọng giúp đỡ cho những bệnh nhân bị chó dại cắn đã thôi thúc ông ngày đêm nghiên cứu ra loại vắc-xin này. Ngày ấy ông rất nổi tiếng, nhưng ông đã sẵn sàng đánh đổi danh vọng của mình để mang lại hạnh phúc, mang lại những tia sống cho những bệnh nhân không may mắc phải bệnh dại. Và cuối cùng loại vắc-xin của ông đã thành công, nhờ công trình nghiên cứu này mà biết bao nhiêu con người trên thế giới đã tìm lại được sự sống.Cuốn sách Gương Hi Sinh - Những Bài Học Thành Công thuộc bộ sách Sống sao cho đúng được chia thành 10 phần, mỗi phần tương ứng với một câu chuyện về một danh nhân.Phần 1: Isaac NewtonPhần 2: Louis PasteurPhần 3: Tomas Alva EdisonPhần 4: John Boyd DunlopPhần 5: Ông bà CuriePhần 6: Guglielmo MarconiPhần 7: Rudolf DieselPhần 8: John Logie BairdPhần 9: Norbert WienerPhần 10: Ignace Philippe SemmelweisMười nhân vật với những câu chuyện khác nhau, những hoàn cảnh, công việc khác nhau nhưng họ đều có một điểm chung chính là dám đánh đổi những thứ mình đang có như tình yêu, hạnh phúc, tiền tài, danh vọng, thời gian…. để đạt được thành công và mang đến thay đổi cho nhân loại.Mời bạn đón đọc.",120.000,,,,,,,,,,,,, 308.00 gam , 14.5 x 20.5 cm , 8935246919224 , 09/2018 , Tiếng Việt ,, Mcbooks , 268 , Nguyễn Hiến Lê , Bìa mềm , NXB Hồng Đức 
82,Leonardo Da Vinci (Bìa Cứng),https://www.vinabook.com/images/thumbnails/product/240x/319011_p85106m1.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Walter Isaacson 
                                                                                                                                            Walter Isaacson
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ông là thiên tài sáng tạo nhất trong lịch sử. Ông có thể truyền lại cho chúng ta bí mật gì?Tác giả của các cuốn sách bán chạy nhất về Steve Jobs, Albert Einstein và Benjamin Franklin sẽ đưa Leonardo trở lại với chúng ta trong cuốn tiểu sử vô cùng hấp dẫn này.Dựa trên hàng ngàn trang sổ tay kỳ lạ cùng những khám phá mới về cuộc đời và tác phẩm của Leonardo, Câu chuyện mà Walter Isaacson kể lại xâu chuỗi nghệ thuật với khoa học của ông. Ông chỉ cho chúng ta thấy thiên tài của Leonardo hoàn toàn dựa trên những kỹ năng mà chúng ta có thể tự củng cố cho bản thân, như sự tò mò đến say mê, thói quen quan sát cẩn trọng, cùng trí tưởng tượng sinh động đôi khi hòa lẫn cả thể giới ảo tưởng huyền hoặc.Năng lực sáng tạo của ông, cũng giống như của những nhà phát minh vĩ đại khác, xuất phát từ chỗ đứng của họ tại giao điểm giữa nghệ thuật nhân văn và công nghệ. Ông cắt bỏ phần da thịt trên gương mặt của các tử thi, vẽ lại các cơ làm cho môi chuyển động, rồi làm nên nụ cười đáng nhớ nhất trong lịch sử trên bức họa Mona Lisa. Ông khám phá nguyên tắc toán học của quang học thị giác, chỉ ra đường đi của ánh sáng khi đập vào giác mạc, rồi tạo nên ảo ảnh về những thay đổi phối cảnh trong bức Bữa tối cuối cùng. Isaacson cũng mô tả niềm đam mê suốt đời với việc dàn dựng những vở kịch trên sân khấu đã làm giàu thêm cho các bức họa và phát minh của ông ra sao.Khả năng kết nối nghệ thuật và khoa học, mà hình ảnh tiêu biểu nhất là bức vẽ có thể là chính ông đang nằm trọn bên trong một hình tròn và một hình vuông, đã trở thành công thức trường cửu của sáng tạo đột phá. Cuộc đời ông gợi nhắc chúng ta về tầm quan trọng của việc tích lũy từng chút một, cho cả bản thân lẫn con cái chúng ta, không chỉ tri thức sẵn có mà cả tinh thần sẵn sàng chất vấn nó – để trí tưởng tượng trở nên phong phú, và, giống như nhân vật lập dị hay nổi loạn tài năng trong bất kỳ thời đại nào, để suy nghĩ khác biệt.“Đọc tiểu sử Leonardo da Vinci giống như ta đang đi tham quan cuộc đời và sự nghiệp của một trong những nhân vật kiệt xuất nhất của mọi thời đại, với sự đồng hành của một trong những “hướng dẫn viên” uyên bác, cuốn hút, thông tuệ nhất trên đời. Walter Isaacson là một học giả thực thụ, một nhà văn xuất thần.  Và từ những trang sách này, ta sẽ đúc rút được một kho những bài học quý báu.”    - Nhà sử học David McCulloughTrích lời tác giả :Cuốn tiểu sử này là đỉnh cao của loạt sách tôi từng viết về sự sáng tạo, trong đó đáng chú ý nhất là Benjamin Franklin, Albert Einstein, Steve Jobs, và bây giờ là Leonardo da Vinci.Tất cả những con người này đều rất thông minh. Nhưng rốt cuộc, tôi nhận ra rằng, đó không phải điểm mấu chốt. Là nhà báo và nhà viết tiểu sử, tôi phát hiện ra rằng có vô số người thông minh trên thế giới.Nhưng thường thì điều đó không nói lên được gì nhiều. Thứ đo đếm được – thứ khiến cho ai đó đích thực là một thiên tài sáng tạo – là trí tưởng tượng, là khả năng “suy nghĩ khác biệt” (think different), như dụng ngôn của Steve Jobs, và như Einstein đã nói:  “Trí tưởng tượng còn quan trọng hơn cả kiến thức”.Mời bạn đón đọc. ",789.000,,,,,,,,,,,,, 2024.00 gam , 16 x 24 cm , 8935270701000 , 07/11/2018 , Tiếng Việt , Nguyễn Thị Phương Lan , Alpha books , 736 , Walter Isaacson , Bìa cứng , Nxb Thế giới 
83,Bí Mật Cuộc Đời Các Tổng Thống Mỹ,https://www.vinabook.com/images/thumbnails/product/240x/315630_p84678mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Cormac O'Brien     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cũng với cảm hứng “giải thiêng” giống như Robert Schnakenberg - tác giả của Bí mật cuộc đời các đại văn hào, Cormac O’brien không ngần ngại đào xới đời tư của các ‘sếp tổng’ Hoa Kỳ - từ “Cha già dân tộc” George Washington tới đương kim tổng thống Donald Trump - để cung cấp cho độc giả những “khuôn mặt” khác, đậm chất dã sử, sinh động và hài hước hơn rất nhiều của những ông lớn vốn luôn là tâm điểm chú ý của cả thế giới. Làm chính trị như lên sân khấu, ngoại tình, đánh bạc, nghiện rượu, ham tiệc tùng, xa xỉ, tham nhũng, hoang tưởng nhìn thấy đĩa bay, và thậm chí là",148.000,,,,,,,,,,,,, 638.00 gam , 14.5 x 20.5 cm , 8935235217713 , 09/2018 , Tiếng Việt , Võ Quang Phát , Nhã Nam , 476 , Cormac O'Brien , Bìa mềm , Nxb Thế giới 
84,Thomas Jefferson - Nhân Sư Mỹ,https://www.vinabook.com/images/thumbnails/product/240x/314118_p84468mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Joseph J.ellis 
                                                                                                                                            Joseph J.ellis
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thomas Jefferson là tổng thống thứ ba của Hợp chúng quốc Hoa Kỳ, người sáng lập ra Đảng Dân chủ - Cộng hòa Hoa Kỳ, tác giả của bản Tuyên ngôn Độc lập Mỹ, của Đạo luật Virginia về tự do tín ngưỡng, và là cha đẻ của trường Đại học Virginia. “Thomas Jefferson: Nhân sư Mỹ là cuốn sách không chỉ viết về một trong những Người cha Lập quốc được yêu thích nhất của nước Mỹ, mà còn về nền chính trị và các chính khách có ảnh hưởng đến thời đại và sự thành lập của nước Mỹ. Không giống các cuốn tiểu sử khác, Thomas Jefferson: Nhân sư Mỹ không là một cuốn tiểu sử cá nhân mà còn phân tích sâu sắc hơn về các triết lý đằng sau việc hình thành hệ thống chính trị của Mỹ, với những ảnh hưởng vẫn tiếp tục cho đến ngày hôm nay. Dường như ở nước Mỹ, không một nhà lãnh đạo nào mang lại nhiều tranh luận, hâm mộ và nhiều điển tích như Thomas Jefferson. Khi đọc cuốn sách, bạn đọc sẽ thấy những giai thoại, lời bình về ông vượt qua Washington, Adams và cả Lincoln, đầy mâu thuẫn nghịch lý trong chính tư duy và con người ông. Tác giả nỗ lực phân tích những phát triển, thay đổi suy nghĩ và động lực ẩn giấu của Thomas Jefferson tại 5 giai đoạn quan trọng nhất trong cuộc đời ông: Soạn thảo Tuyên ngôn Độc lập ở Philadelphia (1775-1776); Chứng kiến cuộc Cách mạng Pháp trong những năm 1780 ở Paris khi ông là Công sứ (1784-1789); Chống lại phe đối lập chống Liên bang từ trang trại quê hương ở Monticello (1794-1797); Trong nhiệm kỳ đầu tiên là Tổng thống Mỹ (1801-1804), và dành những năm cuối của ông ở quê nhà và những nỗ lực xây dựng Đại học Virginia (1816-1826)”. Mời bạn đón đọc. ",259.000,,,,,,,,,,,,, 1056.00 gam , 16 x 24 cm , 8935270700799 , 08/2018 , Tiếng Việt ," Đoàn Thị Thanh Mai , Quỳnh Mai ", Alpha books , 520 , Joseph J.ellis , Bìa cứng , Nxb Thế giới 
85,Gương Danh Nhân - Những Bài Học Thành Công,https://www.vinabook.com/images/thumbnails/product/240x/313631_p84421mscan0002.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Nguyễn Hiến Lê 
                                                                                                                                            Nguyễn Hiến Lê
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách mang đến cho độc giả những bài học kinh nghiệm quý báu về hoàn thiện bản thân và đối nhân xử thế từ câu chuyện của các danh nhân nổi tiếngTại sao cuộc đời của những người nổi tiếng và thành công luôn được kể lại mãi về sau? Đó là vì những câu chuyện đó có thể giúp bạn có thêm niềm tin, thêm động lực để sống và làm việc, hoặc tìm ở trong đó những bài học cho riêng mình.Từ cổ chí kim nhân loại chúng ta đã nhận được rất nhiều đóng góp của các danh nhân. Họ là những người có những cống hiến quan trọng giúp nhân loại thay đổi theo chiều hướng tích cực. Họ thành công trong nhiều lĩnh vực và là những người truyền cảm hứng tuyệt vời cho thế hệ đi sau. Họ là những tấm gương tuyệt vời để chúng ta noi theo.Bạn muốn hoàn thiện bản thân. Bạn muốn học hỏi những bài học về đối nhân xử thế. Bạn hãy soi vào những người đi trước và nhất là các danh nhân tiêu biểu. Trong cuốn sách “Gương danh nhân” tác giả đã gom những nhà có tài có đức trong mọi giới. Tác giả hy vọng các bạn độc giả sẽ học hỏi được những điều tốt đẹp của các vị danh nhân tiêu biểu. Qua đó các bạn có thêm nhiều bài học về nhân sinh quan, soi vào các tấm gương danh nhân để dần thay đổi và hoàn thiện bản thân mình.Cuốn sách giới thiệu tới các bạn độc giả 7 danh nhân tiêu biểu bao gồm:• Heinrinch Schliemann: Một người trong 40 năm chỉ ước ao được đào đất• Quản Trọng: Một chính trị gia biết bỏ tiểu tiết để mưu đại sự• Benjamin Franklin: Một ấn công tự học mà thành một  nhà khoa học, một nhà lập pháp và một vị thủ lĩnh• Mahatma Gandhi: Lương tâm của nhân loại• Léon Tolstoi: Một vị Á Thánh• Vương Dương Minh: Một người rất đa tài đã đạt được mục đích là học để làm thánh• Abraham Lincoln: Một người quân tử phương Tây đã lấy đức để trị dânMỗi danh nhân với đặc điểm tính cách khác nhau, thời đại khác nhau, hoàn cảnh sống khác nhau và công việc khác nhau đem đến cho độc giả những khía cạnh khác nhau trong việc đối nhân xử thế và hoàn thiện bản thân. Với ngòi miêu tả hấp dẫn về cuộc đời của từng danh nhân, Nguyễn Hiến Lê không chỉ mang đến cho người đọc những thông tin rất thú vị về cuộc sống của những danh nhân mà còn đem đến cho người đọc những bài học bổ ích về đạo đức, đạo lý ở đời.Mong rằng thông qua cuốn sách này các bạn sẽ có thêm hiểu biết về các danh nhân và tự rút ra cho bản thân mình những bài học quý giá từ câu chuyện của họ. Hãy nhanh tay sở hữu cuốn sách này để từng bước thay đổi bản thân theo chiều hướng tích cực.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 286.00 gam , 14.5 x 20.5 cm , 8935246919231 , 07/2018 , Tiếng Việt ,, Mcbooks , 220 , Nguyễn Hiến Lê , Bìa mềm , NXB Hồng Đức 
86,Bác Hồ Với Phụ Nữ Và Thiếu Niên Nhi Đồng,https://www.vinabook.com/images/thumbnails/product/240x/313056_p84310mscan0001.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Bác Hồ Với Phụ Nữ Và Thiếu Niên Nhi Đồng”, là một tác phẩm viết về Bác Hồ và cuộc đời đầy bôn ba sóng gió của người. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc. ",65.000,,,,,,,,,,,,, 264.00 gam , 13.5 x 20.5 cm , 8935210223982 , 08/2018 , Tiếng Việt ,, Tân Việt , 256 , Khánh Linh , Bìa mềm , Nxb Lao động 
87,"Bác Hồ Với Học Sinh, Sinh Viên",https://www.vinabook.com/images/thumbnails/product/240x/313054_p84309mscan0002.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Bác Hồ Với Học Sinh, Sinh Viên”, là một tác phẩm viết về Bác Hồ và cuộc đời đầy bôn ba sóng gió của người. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc.",52.000,,,,,,,,,,,,, 220.00 gam , 13.5 x 20.5 cm , 8935210223999 , 08/2018 , Tiếng Việt ,, Tân Việt , 216 , Khánh Linh , Bìa mềm , Nxb Lao động 
88,Trung Thu Cháu Nhớ Bác Hồ,https://www.vinabook.com/images/thumbnails/product/240x/313050_p84307mscan0004.jpg,NHÂN VẬT - SỰ KIỆN ,,"  Thông tin tác giả    Khánh Linh 
                                                                                                                                            Khánh Linh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nằm trong ""Tủ Sách Bác Hồ"", Cuốn sách “Trung Thu Cháu Nhớ Bác Hồ”, là một tác phẩm viết về Bác Hồ và những câu chuyện của Bác với các em thiếu nhi. Sách được xuất bản lần đầu năm 2017 và đã được công chúng nồng nhiệt đón nhận. Cuốn sách đã trở nên thân thiết với các bạn đọc với nhiều lứa tuổi khác nhau, đặc biệt là các cháu thiếu niên.Mời bạn đón đọc.",47.000,,,,,,,,,,,,, 198.00 gam , 13.5 x 20.5 cm , 8935210224040 , 08/2018 , Tiếng Việt ,, Tân Việt , 192 , Khánh Linh , Bìa mềm , Nxb Lao động 
