tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa,dịch giả
Chuyện Diệu Kỳ Của Bọ Chét - Leo Messi,https://www.vinabook.com/images/thumbnails/product/240x/295431_p80419mchuyendieu.jpg,Bóng đá,"  Thông tin tác giả    Michael Part     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách kể về những câu chuyện kỳ diệu của Cậu Bé Vàng Leo Messi. Ngay từ nhỏ, Messi đã luôn mơ ước được là người kế cận của cựu danh thủ Maradona huyền thoại. Cậu sớm bộc lộ tài năng và được gia nhập học viện đào tạo cầu thủ trẻ La Masia của đội bóng hàng đầu thế giới Barcelona. Bằng nỗ lực và quyết tâm của mình, Leo Messi đã hiện thực hóa được giấc mơ thời thơ ấu của mình.Mời bạn đón đọc. ",117.0, 13 x 20.5 cm , 01/2018 , Hanoibooks , Nxb Hà Nội ,172.0, Michael Part , Bìa mềm , Vũ Đình Kính 
Suárez - Messi - Neymar,https://www.vinabook.com/images/thumbnails/product/240x/295427_p80418msuarez.jpg,Bóng đá,"  Thông tin tác giả    Luca Caioli     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách là câu chuyện về ba chàng trai mà từ khi còn nhỏ đã biết rằng họ muốn trở thành những người xuất sắc nhất, và họ không khuất phục trước bất kỳ điều gì để đạt được các mục tiêu của mình: Suarez – Messi – Neymar. Đây ba chiến binh dữ dội, không mệt mỏi, mang áo số 9, 10 và 11, ba con số thần kỳ, ba ngôi sao của FC Barcelona. Câu chuyện nhắc đến tuổi thơ, cuộc sống gia đình của họ, lần đầu tiên tiếp xúc với bóng đá, những thành công ở cấp câu lạc bộ, sự nghiệp quốc gia, cùng những khoảnh khắc quan trọng trong cả chiến thắng và những nỗi đau của họ.Mời bạn đón đọc. ",127.0, 13 x 20.5 cm , 01/2018 , Hanoibooks , Nxb Hà Nội ,200.0, Luca Caioli , Bìa mềm , Nguyễn An Nguyên 
Hồi Ký Zinedine Zidane,https://www.vinabook.com/images/thumbnails/product/240x/323734_p85702mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Patrick Fort     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Jean Philippe     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi nhắc về tài năng bóng đá thế giới, chúng ta không thể không kể về Zinedine Zidane – ông từng là một trong những cầu thủ vĩ đại nhất trong lịch sử bóng đá mà người hâm mộ đã từng chứng kiến. Trong những năm thi đấu, ông là cầu thủ có khả năng kiểm soát bóng siêu phàm, nhãn quan chiến thuật cực tốt, và với kỹ thuật cá nhân điêu luyện… Ông đã tạo nên một tượng đài trong lịch sử trong bóng đã thế giới .Ông có một sự nghiệp cầu thủ luôn ở đỉnh cao phong độ với nhiều Clb mạnh khác nhau, từ Bordeaux, Juventus cho tới Real Madrid….ở đâu ông cũng là cầu thủ thi đấu tuyệt vời nhất. Trong thành phần đội tuyển Quốc gia Pháp, ông đã dẫn dắt Pháp tới những vinh quang tột đỉnh tại FIFA World Cup (1998) và Euro (2000).Cuốn sách là cuốn Hồi kí duy nhất của Zidane, được 2 tác giả là những cây bút thể thao nổi tiếng chấp bút, sẽ đem đến cho độc giả nhiều thông tin nhất về Zidane từ trước đến nay. Cuộc đời và sự nghiệp sống động của Zidane từ khi còn là cầu thủ, cho tới khi làm Hlv cùng với Real Madrid đoạt kì tích 3 lần liên liên tiếp giành chức vô địch Champion League, và rất nhiều điều thú vị nữa được thể hiện trong cuốn Hồi kí này.Mời bạn đón đọc. ",179.0, 16 x 24 cm , 12/2018 , Hanoibooks , Nxb văn học ,384.0," Patrick Fort , Jean Philippe ", Bìa mềm , Nguyễn An Nguyên 
"Tôi Tư Duy, Là Tôi Chơi Bóng (Tái Bản 2019)",https://www.vinabook.com/images/thumbnails/product/240x/335972_p87306mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Alessandro Alciato     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Andrea Pirlo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tự truyện của Andrea Pirlo, huyền thoại của AC Milan, Juventus và đội tuyển Ý. Người khai sinh và đặt ra khái niệm Deep Lying Playmaker trong bóng đá. Luôn là niềm cảm hứng với bất kì đội bóng nào anh khoác áo, cuộc đời và sự nghiệp lẫy lừng của Pirlo luôn là mơ ước của bất kì cầu thủ nào. Tự truyện với cách hành văn tự sự đầy cảm xúc, dẫn dắt người đọc qua những cột mốc và sự kiện quan trong của cuộc đời Pirlo:- 10 năm gắn bó cùng Milan- Trận chung kết Champion League 2005- Chuyển nhượng sang Juvetus- Vô địch thế giới cùng Italia- 3 lần vô địch Serie A- Mối quan hệ và những kỉ niệm của Pirlo với những nhân vật nổi tiếng nhất trong thế giới bóng đá: Lippi, Ancelotti, Conte, Maldini, Shevchenko, Seedorf, Buffon, Kaka, Nesta, Balotelli, Costacurta, Gattuso, Berlusconi and Ronaldo.Mời bạn đón đọc. ",119.0, 13 x 20.5 cm , 05/2019 , Hanoibooks , Nxb Lao động ,240.0," Alessandro Alciato , Andrea Pirlo ", Bìa mềm , Nguyễn An Nguyên 
Từ Pele Đến Maradona - Một Cuốn Cẩm Nang Về Bóng Đá,https://www.vinabook.com/images/thumbnails/product/240x/366432_p93861mscan0002.jpg,Bóng đá,"  Thông tin tác giả    --Yên Ba--     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này có tên ""Từ Pele Đến Maradona"" - là tên của 2 dah thủ lớn nhất ở mọi thời đại trong lịch sử bóng đá Thế giới. Đó là 2 tên mang tính biểu trưng, nhưng cũng rất cụ thể. Bởi nếu tính mốc thời gian năm 1975 là năm Pele cho đến năm 1997 là năm Maradona giã từ bóng đá đỉnh cao, là vừa tròn một thế kỷ. Cũng có những người chơi bóng đá sớm hơn như Florian, Albert",159.0, 23.5 x 15.5 cm , 2021 , TH Books , Nxb Lao động ,683.0, --Yên Ba-- , Bìa mềm ,
CR7 - Hành Trình Lên Đỉnh Thế Giới (Bìa Mềm),https://www.vinabook.com/images/thumbnails/product/240x/357967_p91201mcr7.jpg,Bóng đá,"  Thông tin tác giả    Guillem Balague     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi sinh ra, có 4 điều mà chúng ta không có quyền được lựa chọn là: cha, mẹ, anh chị em và nơi được sinh ra. Và còn một điều nữa là đam mê của chúng ta, thứ luôn tạo động lực giúp ta hướng về phía trước. Ngoài ra, tất cả là không thực sự cần thiết. Trước khi bàn tới đam mê của một Cristiano Ronaldo đang ở trên đỉnh cao danh vọng, điều gì xứng đáng với những trang đầu tiên của cuốn sách này: người mẹ, gia đình hay nơi mà anh ấy đã được sinh ra? Câu trả lời nhất định là Dolores Aveiro, người mẹ vĩ đại hiện vẫn đang sống cùng và chăm chút cho cậu con trai Junior của Ronaldo như một người mẹ chăm con, chứ không phải bà nội chăm cháu. Cách đây hơn 20 năm, bà đã dằn lòng cho phép cậu con trai 12 tuổi của mình rời miền quê nghèo Madeira để theo đuổi đam mê trở thành một cầu thủ bóng đá chuyên nghiệp. Một quyết định xé lòng, nhưng bà chấp nhận, bởi bà tin đó là lựa chọn tốt nhất, thậm chí có thể là duy nhất. Hoặc cũng có thể vì bà đã từng phải trải qua điều tương tự. Người ta thường nói, trong cuộc đời, những đức tính và khiếm khuyết có thể được lặp lại từ thế hệ này qua thế hệ khác. Năm xưa, cha của bà cũng đã ra đi, mặc dù theo một cách khác, trong chiếc vali ngày xưa ấy không có niềm thương yêu - thứ mà bà đã ních chặt trong vali của cậu con trai trước chuyến bay đến Lisbon----Khi lên 8 hay 9, Ronaldo rất thích được ở bên cha. Nhiều đêm, đồng hồ đã chỉ 11 giờ và mắt đã díu lại nhưng anh không thể nào yên tâm lên giường khi không có cha bên cạnh. Anh sẽ cùng với chị gái hay một vài người bạn đến quán bar để kéo ông ấy về, mặc cho ông không chịu. Anh cũng rất thích ở bên cạnh ông tại một góc nào đó trong quán bar. Chỉ đơn giản là ngồi yên lặng và uống. Và không gây ra bất kì rắc rối nào. Khi ông chịu về nhà cũng là lúc mà ông cần đến bờ vai của cậu con trai. Ông đã quá say rồi.Ở độ tuổi còn rất trẻ, Ronaldo dần dần phải gánh vác vai trò của người cha trong gia đình - thứ mà cha của anh bỏ bê vì những cơn say.“Tôi chỉ muốn con trai tôi được hạnh phúc và thành công.” Đó là câu nói mà anh đã nghe thấy ở quán bar. “Tôi muốn sống ở thế giới của tôi. Và thế giới của nó do nó quyết định.” Thực tế, ông không thích chuyển đến Manchester khi Cristiano thi đấu ở đó, và cũng chỉ đến thăm một vài lần.Mời bạn đón đọc. ",299.0, 16 x 24 cm , 09/07/2020 , TH Books , Nxb Hà Nội ,476.0, Guillem Balague , Bìa mềm , Trần Quỳnh 
Pelé - Cuộc Đời Và Thời Đại,https://www.vinabook.com/images/thumbnails/product/240x/356898_p91030mpele.jpg,Bóng đá,"  Thông tin tác giả    Harry Harris     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là tác phẩm bán chạy tại Anh và Mỹ ngay từ lần xuất bản đầu tiên, cuốn sách này là tiểu sử được cho phép đầu tiên, và đầy đủ nhất, của cầu thủ bóng đá vĩ đại nhất thế giới. Có cơ hội tiếp cận đặc biệt với chính Pelé, tác giả chuyên viết về đề tài thể thao Harry Harris kể lại cho chúng ta nghe quá trình thăng tiến phi thường của Pelé, từ một gia đình nghèo khó ở Brazil đến lần ra mắt đội tuyển quốc gia ở tuổi 16. Kỹ năng chơi bóng siêu hạng, khả năng tư duy nhạy bén trên sân cỏ và khả năng kiểm soát bóng tuyệt diệu đã giúp Pelé trở thành cầu thủ duy nhất ba lần đoạt chức vô địch bóng đá thế giới, ghi được hơn 1.200 bàn thắng trong sự nghiệp – một kỷ lục mà có lẽ khó ai có thể bắt kịp, chứ chưa nói tới chuyện vượt qua.Pelé vẫn là cầu thủ bóng đá vĩ đại nhất mọi thời đại, bất chấp những thành tích xuất sắc của các danh thủ khác như Cristiano Ronaldo, Lionel Messi, Neymar hiện nay, hay những huyền thoại trước kia như Diego Maradona và Johan Cruyff. Ấn bản này của cuốn sách được sửa đổi và cập nhật đến năm 2018, như một sự tôn vinh dành cho một ngôi sao thể thao tầm thế giới, nguồn cảm hứng cho rất nhiều người trên trái đất này.Mời bạn đón đọc. ",175.0, 15.5 x 23 cm , 09/03/2020 , NXB Trẻ , Nxb Trẻ ,314.0, Harry Harris , Bìa mềm ," Lê Anh Tú , Nguyễn Dương Hiếu "
Jurgen Klopp - Thổi Bùng Huyên Náo,https://www.vinabook.com/images/thumbnails/product/240x/357100_p91078mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Raphael Honigstein     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là một cổ động viên lâu năm của Liverpool, Jurgen Klopp với tôi như một vị cứu tinh. Mối lương duyên của ông với Liverpool thật đặc biệt, nhất là cách mà ông biến đội bóng này trở thành một trong những tập thể khó đánh bại bậc nhất tại châu Âu, với phong cách chơi bóng như muốn thiêu rụi đối phương bằng ngọn lửa của lòng quả cảm và đam mê chiến thắng.Klopp sinh ra là để dành cho The Kop. Như một định mệnh không thể chối bỏ. Dưới bàn tay của Klopp, Anfield tìm lại được âm lượng vốn có, các cầu thủ Liverpool giờ bước vào mỗi trận đấu trong tâm thế của những kẻ đi chinh phục. Klopp khiến Liverpool vĩ đại trở lại. Klopp khơi lại nỗi khát khao vẫn đang cháy âm ỉ bên trong mỗi cổ động viên Liverpool.“Jurgen Klopp – Thổi bùng huyên náo” là một lát cắt sống động về cuộc đời đầy thăng trầm của vị huấn luyện viên sinh ra ở vùng Rừng Đen. Từ khi là một cậu bé được rèn giũa dưới thiết quân luật của người cha, đến một chàng thanh niên đôi mươi đầy hoài bão và cuồng nộ, tới hình ảnh một gã trung niên lăn lộn trong gian khó lúc khởi sự nghiệp huấn luyện. Gập cuốn sách lại, tôi hiểu được lý do tại sao Klopp lại đang trên đường trở thành chiến lược gia hay nhất đương đại.Klopp chính là nét đặc biệt đắt giá của Premier League, giải đấu quy tụ nhiều huấn luyện viên hàng đầu nhất thế giới. Truyền thông săn đón ở ông những phát biểu cá tính và nụ cười toe toét, các Liverpudlians chờ đợi những màn ăn mừng giơ nắm đấm vào không khí đầy cảm xúc, còn các cầu thủ Liverpool muốn nhìn thấy người đàn ông với bộ râu rậm và chiếc mũ lưỡi trai bên đường piste, để tự nhủ rằng họ không bao giờ được bỏ cuộc.Klopp chính là câu trả lời cho những con tim Kopites tan vỡ, khi Steven Gerrard trượt dài theo giấc mơ của hàng triệu CĐV áo đỏ vào năm 2014. Có ông, người Liverpool sẽ chẳng bao giờ phải bước đi một mình, nhưng họ vẫn sẽ hát vang “You’ll Never Walk Alone”, như một lời khẳng định cho đế chế vĩ đại mà Klopp đang gây dựng ở vùng Merseyside.Klopp gọi mình là “Người bình thường”, người ta gọi ông với cái tên thân mật Klopp, còn với tôi, ông đã là một Scouser chính hiệu rồi!Mời bạn đón đọc. ",169.0, 14.5 x 20.5 cm , 12/03/2020 , TH Books , Nxb Hà Nội ,408.0, Raphael Honigstein , Bìa mềm , Minh Đức 
CR7 - Hành Trình Lên Đỉnh Thế Giới (Bìa Cứng) (Tặng Kèm Sổ Tay),https://www.vinabook.com/images/thumbnails/product/240x/357969_p91202mcr7.jpg,Bóng đá,"  Thông tin tác giả    Guillem Balague     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi sinh ra, có 4 điều mà chúng ta không có quyền được lựa chọn là: cha, mẹ, anh chị em và nơi được sinh ra. Và còn một điều nữa là đam mê của chúng ta, thứ luôn tạo động lực giúp ta hướng về phía trước. Ngoài ra, tất cả là không thực sự cần thiết. Trước khi bàn tới đam mê của một Cristiano Ronaldo đang ở trên đỉnh cao danh vọng, điều gì xứng đáng với những trang đầu tiên của cuốn sách này: người mẹ, gia đình hay nơi mà anh ấy đã được sinh ra? Câu trả lời nhất định là Dolores Aveiro, người mẹ vĩ đại hiện vẫn đang sống cùng và chăm chút cho cậu con trai Junior của Ronaldo như một người mẹ chăm con, chứ không phải bà nội chăm cháu. Cách đây hơn 20 năm, bà đã dằn lòng cho phép cậu con trai 12 tuổi của mình rời miền quê nghèo Madeira để theo đuổi đam mê trở thành một cầu thủ bóng đá chuyên nghiệp. Một quyết định xé lòng, nhưng bà chấp nhận, bởi bà tin đó là lựa chọn tốt nhất, thậm chí có thể là duy nhất. Hoặc cũng có thể vì bà đã từng phải trải qua điều tương tự. Người ta thường nói, trong cuộc đời, những đức tính và khiếm khuyết có thể được lặp lại từ thế hệ này qua thế hệ khác. Năm xưa, cha của bà cũng đã ra đi, mặc dù theo một cách khác, trong chiếc vali ngày xưa ấy không có niềm thương yêu - thứ mà bà đã ních chặt trong vali của cậu con trai trước chuyến bay đến Lisbon----Khi lên 8 hay 9, Ronaldo rất thích được ở bên cha. Nhiều đêm, đồng hồ đã chỉ 11 giờ và mắt đã díu lại nhưng anh không thể nào yên tâm lên giường khi không có cha bên cạnh. Anh sẽ cùng với chị gái hay một vài người bạn đến quán bar để kéo ông ấy về, mặc cho ông không chịu. Anh cũng rất thích ở bên cạnh ông tại một góc nào đó trong quán bar. Chỉ đơn giản là ngồi yên lặng và uống. Và không gây ra bất kì rắc rối nào. Khi ông chịu về nhà cũng là lúc mà ông cần đến bờ vai của cậu con trai. Ông đã quá say rồi.Ở độ tuổi còn rất trẻ, Ronaldo dần dần phải gánh vác vai trò của người cha trong gia đình - thứ mà cha của anh bỏ bê vì những cơn say.“Tôi chỉ muốn con trai tôi được hạnh phúc và thành công.” Đó là câu nói mà anh đã nghe thấy ở quán bar. “Tôi muốn sống ở thế giới của tôi. Và thế giới của nó do nó quyết định.” Thực tế, ông không thích chuyển đến Manchester khi Cristiano thi đấu ở đó, và cũng chỉ đến thăm một vài lần.Mời bạn đón đọc. ",199.0, 16 x 24 cm , 10/07/2020 , TH Books , Nxb Hà Nội ,484.0, Guillem Balague , Bìa cứng , Trần Quỳnh 
Phong Cách Barcelona,https://www.vinabook.com/images/thumbnails/product/240x/355824_p90873mphongcach.jpg,Bóng đá,"  Thông tin tác giả    Damian Hughes     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Barcelona đã tạo ra một hình ảnh vô cùng rõ nét lên nhận thức bóng đá toàn cầu. Thể hình và thể lực phải cúi đầu trước kỹ thuật và sự tinh tế; tinh thần chiến binh vẫn còn đó nhưng đã được hòa trộn bởi trí thông minh và sự uyển chuyển sát thủ của một dũng sĩ đấu bò. Một cầu thủ cao hay thấp, cơ bắp hay mỏng manh không quan trọng, miễn là họ biết làm thế nào để “vuốt ve” quả bóng. Barcelona dưới thời HLV Pep Guardiola – chủ nghĩa cực đoan của trường phái triết lý Cruyff – nuôi dưỡng giấc mơ của mọi đứa trẻ chơi bóng và hấp dẫn chúng ta, những người muốn tìm hiểu cách thức áp dụng các bài học này vào những tổ chức phi bóng đá của riêng mình.Trong cuốn sách này, chúng ta sẽ xem xét làm thế nào những sợi chỉ cá nhân này, khi đan xen và gắn kết với nhau, lại có thể tạo ra một nền văn hóa tận tâm hết sức cơ bản trong thế giới của mỗi người.Mời bạn đón đọc. ",155.0, 15.5 x 23 cm , 12/2019 , NXB Trẻ , Nxb Trẻ ,328.0, Damian Hughes , Bìa mềm , Nhiều dịch giả 
Tự Truyện Michael Carrick - Giữa Những Lằn Ranh,https://www.vinabook.com/images/thumbnails/product/240x/353583_p90614mtutruyen.jpg,Bóng đá,"  Thông tin tác giả    Michael Carrick     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tôi không chỉ chơi bóng cho Manchester United. Tôi sống vì đội bóng. Cả đời tôi gắn liền với nơi này. Dù tôi làm gì hay đi tới đâu, Manchester United luôn ở trong tâm trí và trái tim tôi. Tôi yêu và đón nhận thách thức mà Manchester United đặt ra cho mình. Bạn biết đấy, đã chơi cho đội bóng vĩ đại này thì phải sẵn sàng chấp nhận thực tế là ở đấy không bao giờ có những lối thoát dễ dàng. Mức độ áp lực và kỳ vọng đều cao ngất ngưởng. Một vài cầu thủ vượt qua được và tận hưởng thực tế đó, một số khác thì không. Rất khốc liệt.Mời bạn đón đọc. ",189.0, 16 x 24 cm , 14/12/2019 , TH Books , Nxb Hà Nội ,468.0, Michael Carrick , Bìa mềm , Việt Cường 
Thỏa Giấc Mơ Vàng,https://www.vinabook.com/images/thumbnails/product/240x/354337_p90689mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi đặt bút viết 2 chữ “hiện thực”, trong tôi bỗng trào dâng nhiều nỗi niềm, bởi chưa bao giờ thấy 2 chữ “hiện thực” lại có độ dài khủng khiếp, và lại khiến chúng ta vất vả đến như thế. Chung kết bóng đá nam SEA Games năm 1995 tại Thái Lan với đội chủ nhà, chúng ta đã không dám nghĩ đến 2 chữ “hiện thực”, vì hồi đó vào được chung kết đã là quá vẻ vang, và một đội tuyển Việt Nam mới hội nhập trở lại với làng cầu quốc tế thì không có “cửa” khi đặt bên cạnh “ông kẹ” Thái. Chung kết bóng đá nam SEA Games năm 2005, chúng ta cũng không dám nghĩ đến 2 chữ “hiện thực” vì đấy là trận chung kết mà “nghi án bán độ” ở vòng bảng đã phủ một cái bóng đen nặng nề lên tâm lý nhiều cầu thủ.”Mời bạn đón đọc. ",109.0, 15 x 15 cm , 12/2019 , TH Books , Nxb Hà Nội ,228.0, Nhiều tác giả , Bìa mềm ,
Chúng Ta Là Việt Nam - Chúng Ta Là Một,https://www.vinabook.com/images/thumbnails/product/240x/353281_p90570mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Jang Won Jae     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách duy nhất của Hlv Park Hang Seo, được xuất bản đồng thời tại Hàn Quốc và Việt Nam.Cuốn sách chào mừng chúng ta đang dẫn đầu bảng G vòng loại WC2022 khu vực Châu Á, và hướng đến tấm HCV tại Sea games 30.Đất lành chim đậu, Hlv Park đã có đất dụng võ sau khi làm trợ lý cho Hlv Hiddink mà không được trọng dụng tại Hàn Quốc!“Cầu thủ Việt Nam có những tố chất mà cầu thủ Nhật Bản hay Hàn Quốc không có, như tốc độ, kỹ thuật hay một chút gì đó là thể lực. Họ không cần phải thiếu tự tin”.“Chúng ta là người Việt Nam. Hãy chiến đấu để xứng đáng với điều đó và tình cảm của người hâm mộ”.“Tôi đang mặc chiếc áo có cờ Việt Nam và tôi thấy mình phải có trách nhiệm tuyệt đối với lá cờ ấy, dù tôi là người Hàn Quốc”.“Đã là HLV thì phải dạy cho cầu thủ 2 điều, thứ nhất là bóng đá bởi họ là cầu thủ, điều thứ hai là phải dạy họ về nhân tính, tính cách, sự nhân văn”.“Tại sao chúng ta phải cúi đầu? Chúng ta không phải cúi đầu, chúng ta đã cố hết sức rồi”.“Không bao giờ được cúi đầu”.Mời bạn đón đọc. ",199.0, 15.5 x 22.5 cm , 11/12/2019 , Hanoibooks , Nxb văn học ,294.0, Jang Won Jae , Bìa mềm , Đinh Thị Kiều Oanh 
AC Milan - 120 Năm Vĩ Đại,https://www.vinabook.com/images/thumbnails/product/240x/347010_p88651mbaacmilan2d2.jpg,Bóng đá," Tôi may mắn đến với bóng đá đúng vào giai đoạn thăng hoa của Serie A và đội tuyển Italia ở Espana 1982. Serie A ngày đó được ví như World Cup thu nhỏ với đầy đủ những ngôi sao sáng nhất của bóng đá thế giới cùng biết bao bộ óc siêu việt trên băng ghế huấn luyện. Tôi vẫn nhớ hình ảnh Chủ tịch Silvio Berlusconi đội trưởng Baresi bước xuống từ trực thăng ra mắt các Tifosi, và mở ra một trang mới trong lịch sử Milan. Enzo Bearzot, HLV của đội tuyển Ý tại World Cup 1982 từng nói ""Nước Ý nghèo nên khi có được cái gì đó chúng tôi phải cho vào túi áo và cài nắp túi lại, bóng đá Ý với lối chơi phòng ngự danh bất hư truyền đã ra đời trong hoàn cảnh như thế"". Còn HLV Arrigo Sacchi đã phất cờ để làm một cuộc cách mạng với lối chơi phòng ngự khu vực đầy quyến rũ và hiệu quả. AC Milan của thập niên 1980 không chỉ giành được nhiều danh hiệu mà còn có những con người mang tính biểu tượng như Baresi, Maldini, Bộ ba Hà Lan, Tassotti, Albertini",168.0, 16 x 24 cm , 30/09/2019 , TH Books , Nxb Hà Nội ,384.0,, Bìa mềm ,
"Từ Cú Kung-fu Của ""King"" Eric Cantona Đến Sự Hình Thành Kỷ Nguyên Manchester United",https://www.vinabook.com/images/thumbnails/product/240x/351149_p90305mscan0001.jpg,Bóng đá,"  Thông tin tác giả    Daniel Storey     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Với rất nhiều khán giả Việt Nam, Eric Cantona chính là nhịp cầu nối dẫn dắt họ đến với giải Ngoại hạng Anh. Ở thời điểm Serie A vẫn còn là giải đấu số 1, anh chàng mang áo số 7 với thói quen dựng cổ áo khi bước vào sân là người đã truyền cảm hứng cho Premier League, giúp giải đấu ngày càng hoàn thiện đề có được tầm vóc như ngày hôm nay.Người hâm mộ Việt Nam thế hệ trước đa phần thích bóng đá Pháp, có thể vì vậy mà khi Cantona tỏa sáng cùng Manchester United người ta lập tức yêu quý câu lạc bộ này như một lẽ đương nhiên. Nhắc đến Man Utd là phải nói đến Cantona; anh chứ không phải ai khác chính là cánh tay nối dài của Sir Alex, góp phần dìu dắt lứa cầu thủ của Beckham, Scholes, anh em nhà Neville, Butt nhanh chóng trưởng thành để mang lại cú ăn ba lịch sử, góp phần vào những chiến tích không tưởng của đế chế Ferguson.Hâm mộ Eric Cantona từ khi anh đá cặp với J P Papin ở đội tuyển Pháp lập kỳ tích thắng cả 8 trận tại vòng loại Euro 92, tôi cảm thấy mình thật may mắn khi vẫn có thể tường thuật những trận đấu đỉnh cao cuối cùng của số 7 trước khi anh đột ngột từ giã sân cỏ vào mùa hè năm 1997. Là người gắn bó với giải Ngoại hạng Anh từ những ngày đầu phát sóng tại Việt Nam, với tôi Cantona chính là người mở đường cho những tài năng bóng đá thực sự lớn đến với xứ sở sương mù, thậm chí anh là cầu thủ quan trọng nhất trong lịch sử gần 30 năm của EPL.Tôi vẫn luôn tin rằng trong cuộc đời này mỗi con người đều có sứ mệnh riêng, vì thế chúng ta cũng không nên quá tiếc nuối cho sự dang dở của Eric với đội tuyển Pháp. Anh là một trong những nhân tố quan trọng giúp bóng đá Pháp trở lại với một giải đấu lớn sau khi vắng mặt liên tiếp tại Euro 88 và WC 90 nhưng cũng chính những bất đồng của anh với huấn luyện viên Aime Jaquet mà lứa cầu thủ của Zidane mới có dịp nhanh chóng trưởng thành cùng nhau đề giúp Pháp lần đầu vô địch World Cup.Sau khi giải nghệ, Cantona vẫn mang lại rất nhiều cảm hứng trong những công việc anh gắn bó. Lúc là huấn luyện viên kiêm cầu thủ bóng đá bãi biển, khi thì đóng phim, rồi lại làm thơ, viết báo… Nhưng khoảnh khắc mà tôi luôn chờ đợi là khi anh xuất hiện tại Old Trafford đề cùng mọi người cùng nhớ về một giai đoạn hào hùng của nửa đỏ thành Manchester. Gần đây khi xem những trận đấu bế tắc của thầy trò Solskjaer, tôi bỗng có cảm giác cái mà MU thiếu nhất lúc này để kết hợp các ngôi sao với những tài năng trẻ chính là một nhân vật như Eric The King.- Bình luận viên Quang HuyMời bạn đón đọc. ",119.0, 12 x 20 cm , 06/11/2019 , TH Books , Nxb Hà Nội ,244.0, Daniel Storey , Bìa mềm , Nguyễn Đức Huy 
